homeTeam,awayTeam,homeScore,awayScore,date,gameID,playoff,season
Lions,Riptide,14,29,4/12/2014,2014-04-12-VAN-SLC,FALSE,2014
Breeze,Rush,19,20,4/12/2014,2014-04-12-TOR-DC,FALSE,2014
Spiders,FlameThrowers,20,16,4/12/2014,2014-04-12-SF-SJ,FALSE,2014
Phoenix,Dragons,10,13,4/12/2014,2014-04-12-ROC-PHI,FALSE,2014
Mechanix,Wind Chill,21,30,4/12/2014,2014-04-12-MIN-DET,FALSE,2014
Revolution,Radicals,16,25,4/12/2014,2014-04-12-MAD-CIN,FALSE,2014
Lions,Riptide,12,21,4/13/2014,2014-04-13-VAN-SLC,FALSE,2014
Empire,Rush,20,22,4/13/2014,2014-04-13-TOR-NY,FALSE,2014
Union,Wind Chill,27,19,4/13/2014,2014-04-13-MIN-CHI,FALSE,2014
AlleyCats,Radicals,21,26,4/13/2014,2014-04-13-MAD-IND,FALSE,2014
Revolution,Union,23,22,4/18/2014,2014-04-18-CHI-CIN,FALSE,2014
Royal,Rush,14,22,4/19/2014,2014-04-19-TOR-MTL,FALSE,2014
FlameThrowers,Lions,32,9,4/19/2014,2014-04-19-SLC-SF,FALSE,2014
Riptide,Cascades,24,19,4/19/2014,2014-04-19-SEA-VAN,FALSE,2014
Mechanix,Radicals,9,34,4/19/2014,2014-04-19-MAD-DET,FALSE,2014
AlleyCats,Union,25,19,4/19/2014,2014-04-19-CHI-IND,FALSE,2014
Spiders,Lions,37,18,4/20/2014,2014-04-20-SLC-SJ,FALSE,2014
Wind Chill,Radicals,23,20,4/25/2014,2014-04-25-MAD-MIN,FALSE,2014
Lions,Spiders,20,31,4/26/2014,2014-04-26-SJ-SLC,FALSE,2014
Cascades,FlameThrowers,13,17,4/26/2014,2014-04-26-SF-SEA,FALSE,2014
Empire,Dragons,27,8,4/26/2014,2014-04-26-ROC-NY,FALSE,2014
Mechanix,AlleyCats,16,22,4/26/2014,2014-04-26-IND-DET,FALSE,2014
Union,Revolution,27,12,4/26/2014,2014-04-26-CIN-CHI,FALSE,2014
Riptide,FlameThrowers,20,29,4/27/2014,2014-04-27-SF-VAN,FALSE,2014
Breeze,Dragons,30,22,4/27/2014,2014-04-27-ROC-DC,FALSE,2014
Revolution,Mechanix,25,13,5/2/2014,2014-05-02-DET-CIN,FALSE,2014
Spiders,Cascades,25,20,5/3/2014,2014-05-03-SEA-SJ,FALSE,2014
Rush,Dragons,26,11,5/3/2014,2014-05-03-ROC-TOR,FALSE,2014
Royal,Empire,16,17,5/3/2014,2014-05-03-NY-MTL,FALSE,2014
Radicals,AlleyCats,27,18,5/3/2014,2014-05-03-IND-MAD,FALSE,2014
Union,Mechanix,18,9,5/3/2014,2014-05-03-DET-CHI,FALSE,2014
Phoenix,Breeze,22,30,5/3/2014,2014-05-03-DC-PHI,FALSE,2014
FlameThrowers,Cascades,29,16,5/4/2014,2014-05-04-SEA-SF,FALSE,2014
Breeze,Phoenix,28,19,5/4/2014,2014-05-04-PHI-DC,FALSE,2014
Wind Chill,AlleyCats,21,22,5/4/2014,2014-05-04-IND-MIN,FALSE,2014
Radicals,Wind Chill,22,15,5/9/2014,2014-05-09-MIN-MAD,FALSE,2014
Union,AlleyCats,20,19,5/9/2014,2014-05-09-IND-CHI,FALSE,2014
Dragons,Rush,18,30,5/10/2014,2014-05-10-TOR-ROC,FALSE,2014
Riptide,Spiders,32,39,5/10/2014,2014-05-10-SJ-VAN,FALSE,2014
Lions,FlameThrowers,16,19,5/10/2014,2014-05-10-SF-SLC,FALSE,2014
Empire,Phoenix,20,10,5/10/2014,2014-05-10-PHI-NY,FALSE,2014
