homeTeam,awayTeam,homeScore,awayScore,date,gameID,playoff,season
Phoenix,Cannons,21,16,6/4/2021,2021-06-04-TB-PHI,FALSE,2021
Radicals,Wind Chill,18,20,6/4/2021,2021-06-04-MIN-MAD,FALSE,2021
AlleyCats,Mechanix,30,21,6/4/2021,2021-06-04-DET-IND,FALSE,2021
Empire,Breeze,19,18,6/4/2021,2021-06-04-DC-NY,FALSE,2021
Breeze,Cannons,24,10,6/5/2021,2021-06-05-TB-DC,FALSE,2021
Cascades,Spiders,24,21,6/5/2021,2021-06-05-SJ-SEA,FALSE,2021
Aviators,Growlers,16,19,6/5/2021,2021-06-05-SD-LA,FALSE,2021
Hustle,Flyers,19,18,6/5/2021,2021-06-05-RAL-ATL,FALSE,2021
Mechanix,Radicals,10,34,6/5/2021,2021-06-05-MAD-DET,FALSE,2021
Union,AlleyCats,20,12,6/5/2021,2021-06-05-IND-CHI,FALSE,2021
Thunderbirds,Glory,21,29,6/5/2021,2021-06-05-BOS-PIT,FALSE,2021
Glory,Hustle,19,21,6/11/2021,2021-06-11-ATL-BOS,FALSE,2021
Spiders,Cascades,20,19,6/12/2021,2021-06-12-SEA-SJ,FALSE,2021
Cannons,Thunderbirds,18,15,6/12/2021,2021-06-12-PIT-TB,FALSE,2021
Union,Wind Chill,23,18,6/12/2021,2021-06-12-MIN-CHI,FALSE,2021
AlleyCats,Mechanix,28,16,6/12/2021,2021-06-12-DET-IND,FALSE,2021
Flyers,Breeze,24,25,6/12/2021,2021-06-12-DC-RAL,FALSE,2021
Sol,Legion,24,23,6/12/2021,2021-06-12-DAL-AUS,FALSE,2021
Growlers,Aviators,18,20,6/13/2021,2021-06-13-LA-SD,FALSE,2021
Spiders,Growlers,16,23,6/18/2021,2021-06-18-SD-SJ,FALSE,2021
Thunderbirds,Empire,19,24,6/18/2021,2021-06-18-NY-PIT,FALSE,2021
Wind Chill,Radicals,25,19,6/18/2021,2021-06-18-MAD-MIN,FALSE,2021
Legion,Aviators,20,12,6/18/2021,2021-06-18-LA-DAL,FALSE,2021
Breeze,Glory,32,20,6/18/2021,2021-06-18-BOS-DC,FALSE,2021
Phoenix,Thunderbirds,27,18,6/19/2021,2021-06-19-PIT-PHI,FALSE,2021
Sol,Aviators,22,20,6/19/2021,2021-06-19-LA-AUS,FALSE,2021
Mechanix,Union,13,30,6/19/2021,2021-06-19-CHI-DET,FALSE,2021
Flyers,Glory,27,24,6/19/2021,2021-06-19-BOS-RAL,FALSE,2021
Cannons,Hustle,13,24,6/19/2021,2021-06-19-ATL-TB,FALSE,2021
Cascades,Growlers,16,18,6/20/2021,2021-06-20-SD-SEA,FALSE,2021
Radicals,AlleyCats,24,20,6/20/2021,2021-06-20-IND-MAD,FALSE,2021
Glory,Cannons,24,17,6/25/2021,2021-06-25-TB-BOS,FALSE,2021
Flyers,Phoenix,23,11,6/25/2021,2021-06-25-PHI-RAL,FALSE,2021
Aviators,Legion,16,21,6/25/2021,2021-06-25-DAL-LA,FALSE,2021
Cascades,Sol,28,24,6/25/2021,2021-06-25-AUS-SEA,FALSE,2021
Empire,Cannons,24,18,6/26/2021,2021-06-26-TB-NY,FALSE,2021
Hustle,Phoenix,24,17,6/26/2021,2021-06-26-PHI-ATL,FALSE,2021
Wind Chill,Mechanix,29,17,6/26/2021,2021-06-26-DET-MIN,FALSE,2021
Growlers,Legion,21,20,6/26/2021,2021-06-26-DAL-SD,FALSE,2021
AlleyCats,Union,20,28,6/26/2021,2021-06-26-CHI-IND,FALSE,2021
Spiders,Sol,28,23,6/26/2021,2021-06-26-AUS-SJ,FALSE,2021
Radicals,Mechanix,29,18,6/27/2021,2021-06-27-DET-MAD,FALSE,2021
Sol,Cascades,23,16,7/2/2021,2021-07-02-SEA-AUS,FALSE,2021
Breeze,Empire,20,17,7/2/2021,2021-07-02-NY-DC,FALSE,2021
Union,Radicals,18,15,7/2/2021,2021-07-02-MAD-CHI,FALSE,2021
Legion,Cascades,24,16,7/3/2021,2021-07-03-SEA-DAL,FALSE,2021
Cannons,Flyers,15,29,7/3/2021,2021-07-03-RAL-TB,FALSE,2021
Thunderbirds,Phoenix,23,20,7/3/2021,2021-07-03-PHI-PIT,FALSE,2021
AlleyCats,Radicals,22,26,7/3/2021,2021-07-03-MAD-IND,FALSE,2021
Empire,Phoenix,27,20,7/9/2021,2021-07-09-PHI-NY,FALSE,2021
Legion,Sol,16,17,7/9/2021,2021-07-09-AUS-DAL,FALSE,2021
Flyers,Cannons,31,19,7/10/2021,2021-07-10-TB-RAL,FALSE,2021
Glory,Phoenix,22,23,7/10/2021,2021-07-10-PHI-BOS,FALSE,2021
AlleyCats,Wind Chill,18,25,7/10/2021,2021-07-10-MIN-IND,FALSE,2021
Hustle,Breeze,14,19,7/10/2021,2021-07-10-DC-ATL,FALSE,2021
Radicals,Union,19,16,7/10/2021,2021-07-10-CHI-MAD,FALSE,2021
Legion,Sol,21,20,7/10/2021,2021-07-10-AUS-DAL,FALSE,2021
Union,Wind Chill,18,20,7/11/2021,2021-07-11-MIN-CHI,FALSE,2021
Cascades,Legion,22,18,7/16/2021,2021-07-16-DAL-SEA,FALSE,2021
Phoenix,Hustle,15,20,7/16/2021,2021-07-16-ATL-PHI,FALSE,2021
Thunderbirds,Flyers,16,27,7/17/2021,2021-07-17-RAL-PIT,FALSE,2021
Radicals,AlleyCats,17,16,7/17/2021,2021-07-17-IND-MAD,FALSE,2021
Wind Chill,Mechanix,25,12,7/17/2021,2021-07-17-DET-MIN,FALSE,2021
Spiders,Legion,20,23,7/17/2021,2021-07-17-DAL-SJ,FALSE,2021
Aviators,Sol,20,21,7/17/2021,2021-07-17-AUS-LA,FALSE,2021
Breeze,Hustle,13,17,7/17/2021,2021-07-17-ATL-DC,FALSE,2021
Union,AlleyCats,24,18,7/18/2021,2021-07-18-IND-CHI,FALSE,2021
Growlers,Sol,21,20,7/18/2021,2021-07-18-AUS-SD,FALSE,2021
Legion,Growlers,19,15,7/23/2021,2021-07-23-SD-DAL,FALSE,2021
Cascades,Aviators,16,21,7/23/2021,2021-07-23-LA-SEA,FALSE,2021
Outlaws,Rush,27,24,7/24/2021,2021-07-24-TOR-OTT,FALSE,2021
Sol,Growlers,17,21,7/24/2021,2021-07-24-SD-AUS,FALSE,2021
Hustle,Empire,22,21,7/24/2021,2021-07-24-NY-ATL,FALSE,2021
Spiders,Aviators,18,20,7/24/2021,2021-07-24-LA-SJ,FALSE,2021
Mechanix,AlleyCats,13,18,7/24/2021,2021-07-24-IND-DET,FALSE,2021
Wind Chill,Union,16,20,7/24/2021,2021-07-24-CHI-MIN,FALSE,2021
Cannons,Glory,23,26,7/24/2021,2021-07-24-BOS-TB,FALSE,2021
Royal,Outlaws,19,26,7/25/2021,2021-07-25-OTT-MTL,FALSE,2021
Flyers,Thunderbirds,20,17,7/30/2021,2021-07-30-PIT-RAL,FALSE,2021
Radicals,Union,18,23,7/30/2021,2021-07-30-CHI-MAD,FALSE,2021
Sol,Spiders,25,15,7/31/2021,2021-07-31-SJ-AUS,FALSE,2021
Growlers,Cascades,21,20,7/31/2021,2021-07-31-SEA-SD,FALSE,2021
Hustle,Thunderbirds,27,22,7/31/2021,2021-07-31-PIT-ATL,FALSE,2021
Breeze,Phoenix,22,12,7/31/2021,2021-07-31-PHI-DC,FALSE,2021
Cannons,Empire,18,25,7/31/2021,2021-07-31-NY-TB,FALSE,2021
Mechanix,Radicals,15,23,7/31/2021,2021-07-31-MAD-DET,FALSE,2021
Wind Chill,AlleyCats,17,16,7/31/2021,2021-07-31-IND-MIN,FALSE,2021
Legion,Spiders,15,14,8/1/2021,2021-08-01-SJ-DAL,FALSE,2021
Aviators,Cascades,20,15,8/1/2021,2021-08-01-SEA-LA,FALSE,2021
Glory,Flyers,18,19,8/6/2021,2021-08-06-RAL-BOS,FALSE,2021
Phoenix,Breeze,13,20,8/6/2021,2021-08-06-DC-PHI,FALSE,2021
