date,season,playoff,homeTeam,awayTeam,homeScore,awayScore
9/26/1920,1920,FALSE,RII,STP,48,0
10/3/1920,1920,FALSE,BFF,WBU,32,6
10/3/1920,1920,FALSE,CBD,PTQ,48,0
10/3/1920,1920,FALSE,AKR,WHE,43,0
10/3/1920,1920,FALSE,RII,MUN,45,0
10/3/1920,1920,FALSE,CHI,MUT,20,0
10/3/1920,1920,FALSE,RCH,ABU,10,0
10/3/1920,1920,FALSE,DAY,COL,14,0
10/10/1920,1920,FALSE,CBD,TLM,42,0
10/10/1920,1920,FALSE,RCH,FTP,66,0
10/10/1920,1920,FALSE,RII,HAM,26,0
10/10/1920,1920,FALSE,CHI,KEW,25,7
10/10/1920,1920,FALSE,DAY,CTI,0,0
10/10/1920,1920,FALSE,CHT,ARI,0,0
10/10/1920,1920,FALSE,AKR,COL,37,0
10/10/1920,1920,FALSE,DHR,CLP,40,14
10/10/1920,1920,FALSE,BFF,ABU,51,0
10/17/1920,1920,FALSE,RCH,UTI,0,0
10/17/1920,1920,FALSE,ARI,MUT,33,3
10/17/1920,1920,FALSE,BFF,MCK,28,7
10/17/1920,1920,FALSE,DAY,HAM,44,0
10/17/1920,1920,FALSE,CHT,DHR,12,0
10/17/1920,1920,FALSE,FTW,COL,14,0
10/17/1920,1920,FALSE,CBD,CTI,7,0
10/17/1920,1920,FALSE,AKR,CNC,13,0
10/17/1920,1920,FALSE,RII,CHI,0,7
10/24/1920,1920,FALSE,AKR,CTI,7,0
10/24/1920,1920,FALSE,BFF,TLM,38,0
10/24/1920,1920,FALSE,RCH,SYR,21,7
10/24/1920,1920,FALSE,RII,ARI,7,0
10/24/1920,1920,FALSE,DHR,COL,6,0
10/24/1920,1920,FALSE,CHT,CHI,0,10
10/24/1920,1920,FALSE,DAY,CBD,20,20
10/31/1920,1920,FALSE,ARI,DHR,21,0
10/31/1920,1920,FALSE,RCK,CHI,0,29
10/31/1920,1920,FALSE,RII,CHT,20,7
10/31/1920,1920,FALSE,CTI,COL,7,0
10/31/1920,1920,FALSE,DAY,CNC,23,7
10/31/1920,1920,FALSE,CBD,AKR,0,10
10/31/1920,1920,FALSE,BFF,RCH,17,6
10/31/1920,1920,FALSE,LOG,HAM,9,14
11/7/1920,1920,FALSE,RCH,UTI,27,7
11/7/1920,1920,FALSE,PUL,HAM,13,14
11/7/1920,1920,FALSE,CHT,ARI,3,6
11/7/1920,1920,FALSE,ZAN,COL,0,10
11/7/1920,1920,FALSE,RII,CHI,0,0
11/7/1920,1920,FALSE,CTI,CBD,0,18
11/7/1920,1920,FALSE,BFF,ATN,35,0
11/11/1920,1920,FALSE,CHL,CHI,0,20
11/11/1920,1920,FALSE,THO,RII,7,7
11/14/1920,1920,FALSE,FTW,DHR,0,0
11/14/1920,1920,FALSE,RII,DAY,0,21
11/14/1920,1920,FALSE,BFF,COL,43,7
11/14/1920,1920,FALSE,ARI,CNC,20,0
11/14/1920,1920,FALSE,CBD,CHT,21,0
11/14/1920,1920,FALSE,MNM,CHI,0,3
11/14/1920,1920,FALSE,CTI,AKR,7,7
11/14/1920,1920,FALSE,RCH,ATN,0,6
11/14/1920,1920,FALSE,GAR,HAM,7,6
11/21/1920,1920,FALSE,AKR,DAY,13,0
11/21/1920,1920,FALSE,CTI,TLM,14,0
11/21/1920,1920,FALSE,ARI,LAN,14,0
11/21/1920,1920,FALSE,RCH,ROS,16,0
11/21/1920,1920,FALSE,CHI,HAM,28,7
11/21/1920,1920,FALSE,ZAN,COL,0,0
11/21/1920,1920,FALSE,BFF,CBD,0,3
11/25/1920,1920,FALSE,CHB,HAM,27,0
11/25/1920,1920,FALSE,DAY,DHR,28,0
11/25/1920,1920,FALSE,ELY,COL,0,0
11/25/1920,1920,FALSE,CHT,CHI,0,6
11/25/1920,1920,FALSE,AKR,CBD,7,0
11/25/1920,1920,FALSE,RCH,ATN,3,14
11/28/1920,1920,FALSE,RII,WJA,48,7
11/28/1920,1920,FALSE,DAY,AKR,0,14
11/28/1920,1920,FALSE,CHT,THO,27,0
11/28/1920,1920,FALSE,ROS,RCH,6,7
11/28/1920,1920,FALSE,DHR,LAN,0,0
11/28/1920,1920,FALSE,BFF,CTI,7,0
11/28/1920,1920,FALSE,ARI,CHI,7,6
12/4/1920,1920,FALSE,BFF,CBD,7,3
12/5/1920,1920,FALSE,WGC,CBD,0,0
12/5/1920,1920,FALSE,COL,CWP,24,0
12/5/1920,1920,FALSE,ROS,RCH,0,0
12/5/1920,1920,FALSE,DHR,DTM,7,7
12/5/1920,1920,FALSE,ARI,CHI,0,10
12/5/1920,1920,FALSE,BFF,AKR,0,0
12/11/1920,1920,FALSE,UAP,CBD,13,7
12/12/1920,1920,FALSE,CHI,AKR,0,0
12/18/1920,1920,FALSE,RIC,CBD,0,39
12/19/1920,1920,FALSE,CST,ARI,14,14
9/25/1921,1921,FALSE,AKR,COL,14,0
10/2/1921,1921,FALSE,AKR,CCL,41,0
10/2/1921,1921,FALSE,ECG,LOU,21,0
10/2/1921,1921,FALSE,RII,DTI,0,0
10/2/1921,1921,FALSE,DAY,COL,42,13
10/2/1921,1921,FALSE,ARI,MNN,20,0
10/2/1921,1921,FALSE,BFF,HAM,17,0
10/9/1921,1921,FALSE,DTI,DAY,10,7
10/9/1921,1921,FALSE,BFF,COL,38,0
10/9/1921,1921,FALSE,ARI,AKR,0,23
10/9/1921,1921,FALSE,ECG,MUN,14,0
10/9/1921,1921,FALSE,CBD,HAM,7,7
10/10/1921,1921,FALSE,CHI,RII,14,10
10/16/1921,1921,FALSE,ECG,HAM,0,3
10/16/1921,1921,FALSE,CTI,COL,35,9
10/16/1921,1921,FALSE,MUN,CCL,0,14
10/16/1921,1921,FALSE,DAY,CBD,14,14
10/16/1921,1921,FALSE,DTI,AKR,0,20
10/16/1921,1921,FALSE,ARI,RII,7,14
10/16/1921,1921,FALSE,BFF,NG1,55,0
10/16/1921,1921,FALSE,CHI,RCH,16,13
10/23/1921,1921,FALSE,GB,MNN,7,6
10/23/1921,1921,FALSE,BFF,RCH,28,0
10/23/1921,1921,FALSE,DTI,RII,0,14
10/23/1921,1921,FALSE,CHI,DAY,7,0
10/23/1921,1921,FALSE,ARI,COL,17,6
10/23/1921,1921,FALSE,CTI,CCL,28,0
10/23/1921,1921,FALSE,CBD,AKR,0,3
10/30/1921,1921,FALSE,BFF,DTI,21,0
10/30/1921,1921,FALSE,AKR,RCH,19,0
10/30/1921,1921,FALSE,GB,RII,3,13
10/30/1921,1921,FALSE,DAY,CTI,3,2
10/30/1921,1921,FALSE,MNN,COL,28,0
11/6/1921,1921,FALSE,CBD,DAY,14,0
11/6/1921,1921,FALSE,BFF,CTI,10,6
11/6/1921,1921,FALSE,RCH,TON,45,0
11/6/1921,1921,FALSE,COL,AKR,0,21
11/6/1921,1921,FALSE,RII,MNN,14,3
11/6/1921,1921,FALSE,ARI,HAM,7,0
11/6/1921,1921,FALSE,GB,ECG,43,6
11/6/1921,1921,FALSE,CHI,DTI,20,9
11/13/1921,1921,FALSE,CTI,CBD,0,7
11/13/1921,1921,FALSE,CHI,RII,3,0
11/13/1921,1921,FALSE,GB,HAM,14,7
11/13/1921,1921,FALSE,DAY,DTI,27,0
11/13/1921,1921,FALSE,BFF,AKR,0,0
11/20/1921,1921,FALSE,BFF,CBD,7,7
11/20/1921,1921,FALSE,ARI,GB,3,3
11/20/1921,1921,FALSE,CHI,CTI,22,7
11/20/1921,1921,FALSE,RCH,COL,27,13
11/20/1921,1921,FALSE,DAY,AKR,3,0
11/24/1921,1921,FALSE,AKR,CBD,0,14
11/24/1921,1921,FALSE,CHI,BFF,6,7
11/27/1921,1921,FALSE,ECG,CCL,48,0
11/27/1921,1921,FALSE,CHI,GB,20,0
11/27/1921,1921,FALSE,SEN,CBD,0,15
11/27/1921,1921,FALSE,BFF,DAY,7,0
12/3/1921,1921,FALSE,BFF,AKR,14,0
12/3/1921,1921,FALSE,NG1,CTI,0,17
12/4/1921,1921,FALSE,LOU,COL,0,6
12/4/1921,1921,FALSE,ARI,AKR,0,7
12/4/1921,1921,FALSE,CHI,BFF,10,7
12/11/1921,1921,FALSE,SEN,CTI,7,0
12/11/1921,1921,FALSE,CHI,CBD,10,0
12/18/1921,1921,FALSE,CHI,ARI,0,0
12/18/1921,1921,FALSE,SEN,CBD,14,28
10/1/1922,1922,FALSE,AKR,COL,36,0
10/1/1922,1922,FALSE,DAY,OOR,36,0
10/1/1922,1922,FALSE,ARI,MIL,3,0
10/1/1922,1922,FALSE,CBD,LOU,38,0
10/1/1922,1922,FALSE,RII,GB,19,14
10/1/1922,1922,FALSE,TOL,ECG,15,0
10/1/1922,1922,FALSE,RAC,CHI,0,6
10/1/1922,1922,FALSE,BFF,HAM,7,0
10/8/1922,1922,FALSE,RII,CHI,6,10
10/8/1922,1922,FALSE,OOR,COL,20,6
10/8/1922,1922,FALSE,TOL,MIL,12,12
10/8/1922,1922,FALSE,GB,RAC,6,10
10/8/1922,1922,FALSE,DAY,CBD,0,0
10/12/1922,1922,FALSE,AKR,RCH,13,13
10/15/1922,1922,FALSE,RII,ECG,60,0
10/15/1922,1922,FALSE,CHI,RCH,7,0
10/15/1922,1922,FALSE,MIL,RAC,20,0
10/15/1922,1922,FALSE,CBD,OOR,14,0
10/15/1922,1922,FALSE,DAY,MNN,17,0
10/15/1922,1922,FALSE,TOL,HAM,14,0
10/15/1922,1922,FALSE,ARI,GB,16,3
10/15/1922,1922,FALSE,BFF,COL,19,0
10/22/1922,1922,FALSE,ARI,MNN,3,0
10/22/1922,1922,FALSE,RAC,TOL,0,7
10/22/1922,1922,FALSE,CHI,BFF,7,0
10/22/1922,1922,FALSE,AKR,CBD,0,22
10/22/1922,1922,FALSE,RII,RCH,26,0
10/22/1922,1922,FALSE,MIL,GB,0,0
10/22/1922,1922,FALSE,DAY,HAM,20,0
10/29/1922,1922,FALSE,TOL,LOU,39,0
10/29/1922,1922,FALSE,AKR,OOR,62,0
10/29/1922,1922,FALSE,RAC,RCH,9,0
10/29/1922,1922,FALSE,GB,RII,0,0
10/29/1922,1922,FALSE,ARI,COL,37,6
10/29/1922,1922,FALSE,MIL,HAM,0,0
10/29/1922,1922,FALSE,CHI,CBD,6,7
10/29/1922,1922,FALSE,DAY,BFF,0,7
11/5/1922,1922,FALSE,ARI,BFF,9,7
11/5/1922,1922,FALSE,GB,COL,3,0
11/5/1922,1922,FALSE,RAC,LOU,57,0
11/5/1922,1922,FALSE,AKR,HAM,22,0
11/5/1922,1922,FALSE,CBD,TOL,0,0
11/5/1922,1922,FALSE,CHI,DAY,9,0
11/5/1922,1922,FALSE,MNN,OOR,13,6
11/11/1922,1922,FALSE,RAC,COL,34,0
11/12/1922,1922,FALSE,CBD,BFF,3,0
11/12/1922,1922,FALSE,ARI,AKR,7,0
11/12/1922,1922,FALSE,LOU,ECG,13,6
11/12/1922,1922,FALSE,RII,DAY,43,0
11/12/1922,1922,FALSE,CHI,OOR,33,6
11/12/1922,1922,FALSE,GB,MNN,14,6
11/19/1922,1922,FALSE,BFF,AKR,3,3
11/19/1922,1922,FALSE,RAC,GB,3,3
11/19/1922,1922,FALSE,CHI,RII,3,0
11/19/1922,1922,FALSE,MIL,OOR,13,0
11/19/1922,1922,FALSE,ARI,CBD,0,7
11/26/1922,1922,FALSE,TOL,COL,7,6
11/26/1922,1922,FALSE,BFF,OOR,7,19
11/26/1922,1922,FALSE,RAC,HAM,6,0
11/26/1922,1922,FALSE,CBD,ARI,20,3
11/26/1922,1922,FALSE,CHI,AKR,20,10
11/26/1922,1922,FALSE,GB,MIL,13,0
11/30/1922,1922,FALSE,COL,OOR,6,18
11/30/1922,1922,FALSE,RCH,BFF,0,21
11/30/1922,1922,FALSE,ARI,CHI,6,0
11/30/1922,1922,FALSE,RAC,MIL,3,0
11/30/1922,1922,FALSE,CBD,AKR,14,0
12/3/1922,1922,FALSE,RAC,GB,0,14
12/3/1922,1922,FALSE,CHI,TOL,22,0
12/3/1922,1922,FALSE,ARI,DAY,3,7
12/3/1922,1922,FALSE,BFF,AKR,16,0
12/3/1922,1922,FALSE,CBD,MIL,40,6
12/10/1922,1922,FALSE,ARI,CHI,9,0
12/10/1922,1922,FALSE,TOL,CBD,0,19
9/30/1923,1923,FALSE,RAC,TOL,7,7
9/30/1923,1923,FALSE,DUL,AKR,10,7
9/30/1923,1923,FALSE,ARI,BFF,3,0
9/30/1923,1923,FALSE,RII,CHI,3,0
9/30/1923,1923,FALSE,DAY,COL,7,6
9/30/1923,1923,FALSE,CBD,HAM,17,0
9/30/1923,1923,FALSE,GB,MNN,12,0
9/30/1923,1923,FALSE,MIL,OOR,13,2
10/7/1923,1923,FALSE,MNN,DUL,0,10
