date,season,playoff,homeTeam,awayTeam,homeScore,awayScore
9/9/2021,2021,FALSE,TB,DAL,,
9/12/2021,2021,FALSE,TEN,ARI,,
9/12/2021,2021,FALSE,CAR,NYJ,,
9/12/2021,2021,FALSE,WSH,LAC,,
9/12/2021,2021,FALSE,ATL,PHI,,
9/12/2021,2021,FALSE,BUF,PIT,,
9/12/2021,2021,FALSE,DET,SF,,
9/12/2021,2021,FALSE,HOU,JAX,,
9/12/2021,2021,FALSE,CIN,MIN,,
9/12/2021,2021,FALSE,IND,SEA,,
9/12/2021,2021,FALSE,NE,MIA,,
9/12/2021,2021,FALSE,KC,CLE,,
9/12/2021,2021,FALSE,NO,GB,,
9/12/2021,2021,FALSE,NYG,DEN,,
9/12/2021,2021,FALSE,LAR,CHI,,
9/13/2021,2021,FALSE,OAK,BAL,,
9/16/2021,2021,FALSE,WSH,NYG,,
9/19/2021,2021,FALSE,CHI,CIN,,
9/19/2021,2021,FALSE,CAR,NO,,
9/19/2021,2021,FALSE,PIT,OAK,,
9/19/2021,2021,FALSE,CLE,HOU,,
9/19/2021,2021,FALSE,PHI,SF,,
9/19/2021,2021,FALSE,IND,LAR,,
9/19/2021,2021,FALSE,MIA,BUF,,
9/19/2021,2021,FALSE,NYJ,NE,,
9/19/2021,2021,FALSE,JAX,DEN,,
9/19/2021,2021,FALSE,ARI,MIN,,
9/19/2021,2021,FALSE,TB,ATL,,
9/19/2021,2021,FALSE,LAC,DAL,,
9/19/2021,2021,FALSE,SEA,TEN,,
9/19/2021,2021,FALSE,BAL,KC,,
9/20/2021,2021,FALSE,GB,DET,,
9/23/2021,2021,FALSE,HOU,CAR,,
9/26/2021,2021,FALSE,TEN,IND,,
9/26/2021,2021,FALSE,CLE,CHI,,
9/26/2021,2021,FALSE,KC,LAC,,
9/26/2021,2021,FALSE,JAX,ARI,,
9/26/2021,2021,FALSE,PIT,CIN,,
9/26/2021,2021,FALSE,DET,BAL,,
9/26/2021,2021,FALSE,BUF,WSH,,
9/26/2021,2021,FALSE,NYG,ATL,,
9/26/2021,2021,FALSE,NE,NO,,
9/26/2021,2021,FALSE,OAK,MIA,,
9/26/2021,2021,FALSE,DEN,NYJ,,
9/26/2021,2021,FALSE,LAR,TB,,
9/26/2021,2021,FALSE,MIN,SEA,,
9/26/2021,2021,FALSE,SF,GB,,
9/27/2021,2021,FALSE,DAL,PHI,,
9/30/2021,2021,FALSE,CIN,JAX,,
10/3/2021,2021,FALSE,PHI,KC,,
10/3/2021,2021,FALSE,BUF,HOU,,
10/3/2021,2021,FALSE,CHI,DET,,
10/3/2021,2021,FALSE,NO,NYG,,
10/3/2021,2021,FALSE,MIN,CLE,,
10/3/2021,2021,FALSE,ATL,WSH,,
10/3/2021,2021,FALSE,DAL,CAR,,
10/3/2021,2021,FALSE,NYJ,TEN,,
10/3/2021,2021,FALSE,MIA,IND,,
10/3/2021,2021,FALSE,LAR,ARI,,
10/3/2021,2021,FALSE,SF,SEA,,
10/3/2021,2021,FALSE,DEN,BAL,,
10/3/2021,2021,FALSE,GB,PIT,,
10/3/2021,2021,FALSE,NE,TB,,
10/4/2021,2021,FALSE,LAC,OAK,,
10/7/2021,2021,FALSE,SEA,LAR,,
10/10/2021,2021,FALSE,ATL,NYJ,,
10/10/2021,2021,FALSE,HOU,NE,,
10/10/2021,2021,FALSE,MIN,DET,,
10/10/2021,2021,FALSE,CAR,PHI,,
10/10/2021,2021,FALSE,WSH,NO,,
10/10/2021,2021,FALSE,JAX,TEN,,
10/10/2021,2021,FALSE,TB,MIA,,
10/10/2021,2021,FALSE,CIN,GB,,
10/10/2021,2021,FALSE,PIT,DEN,,
10/10/2021,2021,FALSE,OAK,CHI,,
10/10/2021,2021,FALSE,LAC,CLE,,
10/10/2021,2021,FALSE,ARI,SF,,
10/10/2021,2021,FALSE,DAL,NYG,,
10/10/2021,2021,FALSE,KC,BUF,,
10/11/2021,2021,FALSE,BAL,IND,,
10/14/2021,2021,FALSE,PHI,TB,,
10/17/2021,2021,FALSE,JAX,MIA,,
10/17/2021,2021,FALSE,BAL,LAC,,
10/17/2021,2021,FALSE,WSH,KC,,
10/17/2021,2021,FALSE,CAR,MIN,,
10/17/2021,2021,FALSE,NYG,LAR,,
10/17/2021,2021,FALSE,IND,HOU,,
10/17/2021,2021,FALSE,DET,CIN,,
10/17/2021,2021,FALSE,CHI,GB,,
10/17/2021,2021,FALSE,CLE,ARI,,
10/17/2021,2021,FALSE,DEN,OAK,,
10/17/2021,2021,FALSE,NE,DAL,,
10/17/2021,2021,FALSE,PIT,SEA,,
10/18/2021,2021,FALSE,TEN,BUF,,
10/21/2021,2021,FALSE,CLE,DEN,,
10/24/2021,2021,FALSE,GB,WSH,,
10/24/2021,2021,FALSE,NE,NYJ,,
10/24/2021,2021,FALSE,NYG,CAR,,
10/24/2021,2021,FALSE,MIA,ATL,,
10/24/2021,2021,FALSE,TEN,KC,,
10/24/2021,2021,FALSE,BAL,CIN,,
10/24/2021,2021,FALSE,OAK,PHI,,
10/24/2021,2021,FALSE,LAR,DET,,
10/24/2021,2021,FALSE,ARI,HOU,,
10/24/2021,2021,FALSE,TB,CHI,,
10/24/2021,2021,FALSE,SF,IND,,
10/25/2021,2021,FALSE,SEA,NO,,
10/28/2021,2021,FALSE,ARI,GB,,
10/31/2021,2021,FALSE,DET,PHI,,
10/31/2021,2021,FALSE,HOU,LAR,,
10/31/2021,2021,FALSE,NYJ,CIN,,
10/31/2021,2021,FALSE,CLE,PIT,,
10/31/2021,2021,FALSE,ATL,CAR,,
10/31/2021,2021,FALSE,CHI,SF,,
10/31/2021,2021,FALSE,IND,TEN,,
10/31/2021,2021,FALSE,BUF,MIA,,
10/31/2021,2021,FALSE,SEA,JAX,,
10/31/2021,2021,FALSE,LAC,NE,,
10/31/2021,2021,FALSE,NO,TB,,
10/31/2021,2021,FALSE,DEN,WSH,,
10/31/2021,2021,FALSE,MIN,DAL,,
11/1/2021,2021,FALSE,KC,NYG,,
11/4/2021,2021,FALSE,IND,NYJ,,
11/7/2021,2021,FALSE,DAL,DEN,,
11/7/2021,2021,FALSE,BAL,MIN,,
11/7/2021,2021,FALSE,CIN,CLE,,
11/7/2021,2021,FALSE,JAX,BUF,,
11/7/2021,2021,FALSE,NO,ATL,,
11/7/2021,2021,FALSE,NYG,OAK,,
11/7/2021,2021,FALSE,CAR,NE,,
11/7/2021,2021,FALSE,MIA,HOU,,
11/7/2021,2021,FALSE,PHI,LAC,,
11/7/2021,2021,FALSE,KC,GB,,
11/7/2021,2021,FALSE,SF,ARI,,
11/7/2021,2021,FALSE,LAR,TEN,,
11/8/2021,2021,FALSE,PIT,CHI,,
11/11/2021,2021,FALSE,MIA,BAL,,
11/14/2021,2021,FALSE,TEN,NO,,
11/14/2021,2021,FALSE,DAL,ATL,,
11/14/2021,2021,FALSE,PIT,DET,,
11/14/2021,2021,FALSE,WSH,TB,,
11/14/2021,2021,FALSE,NYJ,BUF,,
11/14/2021,2021,FALSE,IND,JAX,,
11/14/2021,2021,FALSE,NE,CLE,,
11/14/2021,2021,FALSE,LAC,MIN,,
11/14/2021,2021,FALSE,ARI,CAR,,
11/14/2021,2021,FALSE,DEN,PHI,,
11/14/2021,2021,FALSE,GB,SEA,,
11/14/2021,2021,FALSE,OAK,KC,,
11/15/2021,2021,FALSE,SF,LAR,,
11/18/2021,2021,FALSE,ATL,NE,,
11/21/2021,2021,FALSE,BUF,IND,,
11/21/2021,2021,FALSE,CHI,BAL,,
11/21/2021,2021,FALSE,PHI,NO,,
11/21/2021,2021,FALSE,JAX,SF,,
11/21/2021,2021,FALSE,CLE,DET,,
11/21/2021,2021,FALSE,TEN,HOU,,
11/21/2021,2021,FALSE,CAR,WSH,,
11/21/2021,2021,FALSE,NYJ,MIA,,
11/21/2021,2021,FALSE,MIN,GB,,
11/21/2021,2021,FALSE,OAK,CIN,,
11/21/2021,2021,FALSE,SEA,ARI,,
11/21/2021,2021,FALSE,KC,DAL,,
11/21/2021,2021,FALSE,LAC,PIT,,
11/22/2021,2021,FALSE,TB,NYG,,
11/25/2021,2021,FALSE,DET,CHI,,
11/25/2021,2021,FALSE,DAL,OAK,,
11/25/2021,2021,FALSE,NO,BUF,,
11/28/2021,2021,FALSE,JAX,ATL,,
11/28/2021,2021,FALSE,MIA,CAR,,
11/28/2021,2021,FALSE,NYG,PHI,,
11/28/2021,2021,FALSE,CIN,PIT,,
11/28/2021,2021,FALSE,HOU,NYJ,,
11/28/2021,2021,FALSE,IND,TB,,
11/28/2021,2021,FALSE,NE,TEN,,
11/28/2021,2021,FALSE,DEN,LAC,,
11/28/2021,2021,FALSE,SF,MIN,,
11/28/2021,2021,FALSE,GB,LAR,,
11/28/2021,2021,FALSE,BAL,CLE,,
11/29/2021,2021,FALSE,WSH,SEA,,
12/2/2021,2021,FALSE,NO,DAL,,
12/5/2021,2021,FALSE,NYJ,PHI,,
12/5/2021,2021,FALSE,CHI,ARI,,
12/5/2021,2021,FALSE,HOU,IND,,
12/5/2021,2021,FALSE,ATL,TB,,
12/5/2021,2021,FALSE,DET,MIN,,
12/5/2021,2021,FALSE,MIA,NYG,,
12/5/2021,2021,FALSE,CIN,LAC,,
12/5/2021,2021,FALSE,LAR,JAX,,
12/5/2021,2021,FALSE,OAK,WSH,,
12/5/2021,2021,FALSE,SEA,SF,,
12/5/2021,2021,FALSE,PIT,BAL,,
12/5/2021,2021,FALSE,KC,DEN,,
12/6/2021,2021,FALSE,BUF,NE,,
12/9/2021,2021,FALSE,MIN,PIT,,
12/12/2021,2021,FALSE,CAR,ATL,,
12/12/2021,2021,FALSE,NYJ,NO,,
12/12/2021,2021,FALSE,HOU,SEA,,
12/12/2021,2021,FALSE,CLE,BAL,,
12/12/2021,2021,FALSE,TEN,JAX,,
12/12/2021,2021,FALSE,KC,OAK,,
12/12/2021,2021,FALSE,WSH,DAL,,
12/12/2021,2021,FALSE,LAC,NYG,,
12/12/2021,2021,FALSE,DEN,DET,,
12/12/2021,2021,FALSE,CIN,SF,,
12/12/2021,2021,FALSE,TB,BUF,,
12/12/2021,2021,FALSE,GB,CHI,,
12/13/2021,2021,FALSE,ARI,LAR,,
12/16/2021,2021,FALSE,LAC,KC,,
