"homeTeam","awayTeam","homeScore","awayScore","date","gameID","playoff","season","winner","loser","MOV","previousHomeElo","previousAwayElo","newHomeElo","newAwayElo","homeWinPct","awayWinPct","drawPct","expectedWinner","correct"
"Lions","Riptide",14,29,2014-04-12,"2014-04-12-VAN-SLC",FALSE,"2014","Riptide","Lions",15,1400,1400,1347.06128976403,1453.05765591966,0.639346426325647,0.359217054018786,0.00143651965556674,"Lions",FALSE
"Breeze","Rush",19,20,2014-04-12,"2014-04-12-TOR-DC",FALSE,"2014","Rush","Breeze",1,1400,1400,1386.76532244101,1413.26441397992,0.639346426325647,0.359217054018786,0.00143651965556674,"Breeze",FALSE
"Spiders","FlameThrowers",20,16,2014-04-12,"2014-04-12-SF-SJ",FALSE,"2014","Spiders","FlameThrowers",4,1400,1400,1417.3346919873,1382.73435384388,0.639346426325647,0.359217054018786,0.00143651965556674,"Spiders",TRUE
"Phoenix","Dragons",10,13,2014-04-12,"2014-04-12-ROC-PHI",FALSE,"2014","Dragons","Phoenix",3,1400,1400,1373.53064488201,1426.52882795983,0.639346426325647,0.359217054018786,0.00143651965556674,"Phoenix",FALSE
"Mechanix","Wind Chill",21,30,2014-04-12,"2014-04-12-MIN-DET",FALSE,"2014","Wind Chill","Mechanix",9,1400,1400,1356.03535279001,1444.0634294621,0.639346426325647,0.359217054018786,0.00143651965556674,"Mechanix",FALSE
"Revolution","Radicals",16,25,2014-04-12,"2014-04-12-MAD-CIN",FALSE,"2014","Radicals","Revolution",9,1400,1400,1356.03535279001,1444.0634294621,0.639346426325647,0.359217054018786,0.00143651965556674,"Revolution",FALSE
"Lions","Riptide",12,21,2014-04-13,"2014-04-13-VAN-SLC",FALSE,"2014","Riptide","Lions",9,1347.06128976403,1453.05765591966,1313.16314029994,1487.06348396239,0.490592221998092,0.507849395789547,0.00155838221236049,"Riptide",TRUE
"Empire","Rush",20,22,2014-04-13,"2014-04-13-TOR-NY",FALSE,"2014","Rush","Empire",2,1400,1413.26441397992,1379.5948630415,1433.71766482316,0.621559427464291,0.376974978910059,0.0014655936256503,"Empire",FALSE
"Union","Wind Chill",27,19,2014-04-13,"2014-04-13-MIN-CHI",FALSE,"2014","Union","Wind Chill",8,1400,1444.0634294621,1427.67720987584,1416.48610163034,0.57905105310314,0.419429818290375,0.0015191286064854,"Union",TRUE
"AlleyCats","Radicals",21,26,2014-04-13,"2014-04-13-MAD-IND",FALSE,"2014","Radicals","AlleyCats",5,1400,1444.0634294621,1368.95333214247,1475.1915476184,0.57905105310314,0.419429818290375,0.0015191286064854,"AlleyCats",FALSE
